no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
1;11;08;AMANAH;JLN. LAKSAMANA MALAHAYATI, DESA LADONG, KECAMATAN MESJID RAYA, KABUPATEN ACEH BESAR;1108;[08] ACEH BESAR;Kawasan Industri;Kawasan Industri Aceh - Ladong;Kawasan Industri
2;11;08;TRIPUTRATAMA SUKSES, PT;DESA LADONG, KECAMATAN MESJID RAYA;1108;[08] ACEH BESAR;Kawasan Industri;Kawasan Industri Aceh - Ladong;Kawasan Industri
3;11;08;PT. PEMBANGUNAN ACEH;RUMAH BUDAYA, JLN. TGK. DAUD BEUREUEH, KEC. KUTA ALAM, KOTA BANDA ACEH;1108;[08] ACEH BESAR;Kawasan Industri;Kawasan Industri Aceh - Ladong;Kawasan Industri
4;11;08;APINE GREEN ENERGY;KAWASAN INDUSTRI KIA LADONG JL. MALAHAYATI GAMPONG LADONG, KELURAHAN LADONG, KECAMATAN MESJID RAYA;1108;[08] ACEH BESAR;Kawasan Industri;Kawasan Industri Aceh - Ladong;Kawasan Industri
5;11;74;PERTA ARUN GAS;Kec. Muara Satu, Kota Lhokseumawe, Aceh;1174;[74] LHOKSEUMAWE;Kawasan Ekonomi Khusus;Arun Lhokseumawe;Kawasan Ekonomi Khusus
6;11;11;PIM PRIMA MEDIKA;JALAN SINGGALANG NO.1 KOMPLEK PERUMAHAN PT. PIM DEWANTARA ACEH UTARA;1111;[11] ACEH UTARA;Kawasan Ekonomi Khusus;Arun Lhokseumawe;Kawasan Ekonomi Khusus
7;11;11;PUPUK ISKANDAR MUDA;JL. MEDAN - BANDA ACEH KAWASAN EKONOMI KHUSUS ARUN LHOKSEUMAWE, DESA KELURAHAN TAMBON BAROH, KEC. DEWANTARA, KAB. ACEH UTARA, PROVINSI ACEH;1111;[11] ACEH UTARA;Kawasan Ekonomi Khusus;Arun Lhokseumawe;Kawasan Ekonomi Khusus
8;11;11;SOLUSI BANGUN ANDALAS;JLN. PELABUHAN UMUM KRUENG GEUKUH, KABUPATEN ACEH UTARA;1111;[11] ACEH UTARA;Kawasan Ekonomi Khusus;Arun Lhokseumawe;Kawasan Ekonomi Khusus
9;11;11;PT YOGA WIBAWA MANDIRI;JL PELABUHAN UMUM KRUENG GEUKUEH, TAMBON BAROH, DEWANTARA;1111;[11] ACEH UTARA;Kawasan Ekonomi Khusus;Arun Lhokseumawe;Kawasan Ekonomi Khusus
10;11;11;PT AMANAH TAMIANG PERKASA;ISKANDAR MUDA INDUSTRIAL AREA (IMIA) PT. PIM, KEK ARUN LHOKSEUMAWE, JALAN MEDAN-BANDA ACEH KRUENG GEUKUEH;1111;[11] ACEH UTARA;Kawasan Ekonomi Khusus;Arun Lhokseumawe;Kawasan Ekonomi Khusus
11;11;11;PT GLOBAL TERMINAL SERVIS;ISKANDAR MUDA INDUSTRIAL AREA (IMIA);1111;[11] ACEH UTARA;Kawasan Ekonomi Khusus;Arun Lhokseumawe;Kawasan Ekonomi Khusus
